species,first_date
Black Redstart,2026-01-21
Black-headed Gull,2026-01-21
Carrion Crow,2026-01-21
Common Chaffinch,2026-01-21
Common Firecrest,2026-01-21
Common Goldeneye,2026-01-21
Common Sandpiper,2026-01-21
Dunnock,2026-01-21
Eurasian Blue Tit,2026-01-21
Eurasian Coot,2026-01-21
Eurasian Jackdaw,2026-01-21
Eurasian Magpie,2026-01-21
European Golden-Plover,2026-01-21
European Goldfinch,2026-01-21
European Robin,2026-01-21
Gray Wagtail,2026-01-21
Graylag Goose,2026-01-21
Great Spotted Woodpecker,2026-01-21
Great Tit,2026-01-21
Greater White-fronted Goose,2026-01-21
Green Sandpiper,2026-01-21
Hawfinch,2026-01-21
Little Owl,2026-01-21
Long-eared Owl,2026-01-21
Long-tailed Tit,2026-01-21
Redwing,2026-01-21
Reed Bunting,2026-01-21
Short-toed Treecreeper,2026-01-21
Song Thrush,2026-01-21
Coal Tit,2026-01-22
Common Chiffchaff,2026-01-22
Common Ringed Plover,2026-01-22
Eurasian Blackbird,2026-01-22
Eurasian Treecreeper,2026-01-22
Goldcrest,2026-01-22
Marsh Tit,2026-01-22
Ruddy Turnstone,2026-01-22
Tawny Owl,2026-01-22
Common Crane,2026-01-23
Eurasian Moorhen,2026-01-23
Eurasian Wren,2026-01-23
Green-winged Teal,2026-01-23
Crested Tit,2026-01-24
Dunlin,2026-01-24
Eurasian Siskin,2026-01-24
European Greenfinch,2026-01-24
European Stonechat,2026-01-24
Yellowhammer,2026-01-24
Common Wood-Pigeon,2026-01-25
Eurasian Green Woodpecker,2026-01-25
Gray Partridge,2026-01-25
Mallard,2026-01-25
White Wagtail,2026-01-25
Barn Owl,2026-01-26
Pink-footed Goose,2026-01-26
Barnacle Goose,2026-01-27
Eurasian Kestrel,2026-01-27
Gray Heron,2026-01-27
Common Buzzard,2026-01-28
Ring-necked Pheasant (Ring-necked),2026-01-30
Eurasian Jay,2026-01-31
Common Scoter,2026-02-02
Eurasian Curlew,2026-02-02
Eurasian Bullfinch,2026-02-03
Gadwall,2026-02-03
Willow Tit,2026-02-03
Black-bellied Plover,2026-02-04
House Sparrow,2026-02-05
Yellow-legged Gull,2026-02-05
Eurasian Wigeon,2026-02-06
Eurasian Oystercatcher,2026-02-07
Common Kingfisher,2026-02-08
Lesser Spotted Woodpecker,2026-02-09
Water Rail,2026-02-09
Whooper Swan,2026-02-09
Wood Lark,2026-02-10
Eurasian Collared-Dove,2026-02-12
Common Redshank,2026-02-14
Common Greenshank,2026-02-15
Rook,2026-02-15
Meadow Pipit,2026-02-16
